secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
243,2026-09-08T04:05:10.902Z,2026-09-08T04:05:10.918Z,1,C,15.648,200,12.150,E0,
244,2026-09-08T04:05:10.952Z,2026-09-08T04:05:10.958Z,1,B,6.340,200,12.200,E0,
245,2026-09-08T04:05:11.002Z,2026-09-08T04:05:11.007Z,1,C,5.131,200,12.251,E0,
246,2026-09-08T04:05:11.053Z,2026-09-08T04:05:11.066Z,1,B,13.237,200,12.301,E0,
247,2026-09-08T04:05:11.102Z,2026-09-08T04:05:11.113Z,1,B,11.494,200,12.350,E0,
248,2026-09-08T04:05:11.153Z,2026-09-08T04:05:11.163Z,1,C,9.858,200,12.401,E0,
249,2026-09-08T04:05:11.202Z,2026-09-08T04:05:11.208Z,1,A,6.134,200,12.450,E0,
250,2026-09-08T04:05:11.252Z,2026-09-08T04:05:11.270Z,1,A,17.560,200,12.501,E0,
251,2026-09-08T04:05:11.302Z,2026-09-08T04:05:11.315Z,1,B,12.801,200,12.551,E0,
252,2026-09-08T04:05:11.352Z,2026-09-08T04:05:11.358Z,1,C,6.055,200,12.600,E0,
