secuencia,timestamp_envio,timestamp_respuesta,exito,replica_id,latencia_ms,codigo_http,segundo_relativo,experimento,error
173,2026-09-08T04:05:56.399Z,2026-09-08T04:05:56.414Z,1,A,14.655,200,8.650,E1,
174,2026-09-08T04:05:56.449Z,2026-09-08T04:05:56.456Z,1,C,7.013,200,8.700,E1,
175,2026-09-08T04:05:56.500Z,2026-09-08T04:05:56.508Z,1,B,8.157,200,8.751,E1,
176,2026-09-08T04:05:56.549Z,2026-09-08T04:05:56.569Z,1,C,19.537,200,8.801,E1,
177,2026-09-08T04:05:56.600Z,2026-09-08T04:05:56.617Z,1,B,17.541,200,8.851,E1,
178,2026-09-08T04:05:56.650Z,2026-09-08T04:05:56.657Z,1,B,7.019,200,8.901,E1,
179,2026-09-08T04:05:56.699Z,2026-09-08T04:05:56.711Z,1,A,11.455,200,8.950,E1,
180,2026-09-08T04:05:56.750Z,2026-09-08T04:05:56.771Z,1,B,21.558,200,9.001,E1,
181,2026-09-08T04:05:56.801Z,2026-09-08T04:05:56.812Z,1,B,10.838,200,9.052,E1,
182,2026-09-08T04:05:56.850Z,2026-09-08T04:05:56.873Z,1,B,23.379,200,9.101,E1,
183,2026-09-08T04:05:56.900Z,2026-09-08T04:05:56.911Z,1,A,11.437,200,9.151,E1,
184,2026-09-08T04:05:56.950Z,2026-09-08T04:05:56.955Z,1,A,4.998,200,9.201,E1,
185,2026-09-08T04:05:57.000Z,2026-09-08T04:05:57.006Z,1,B,6.685,200,9.251,E1,
186,2026-09-08T04:05:57.050Z,2026-09-08T04:05:57.057Z,1,C,7.667,200,9.301,E1,
187,2026-09-08T04:05:57.100Z,2026-09-08T04:05:57.109Z,1,B,9.037,200,9.351,E1,
188,2026-09-08T04:05:57.149Z,2026-09-08T04:05:57.154Z,1,B,4.617,200,9.400,E1,
189,2026-09-08T04:05:57.200Z,2026-09-08T04:05:57.209Z,1,A,9.429,200,9.451,E1,
190,2026-09-08T04:05:57.249Z,2026-09-08T04:05:57.257Z,1,A,7.303,200,9.501,E1,
191,2026-09-08T04:05:57.299Z,2026-09-08T04:05:57.303Z,1,A,4.423,200,9.550,E1,
192,2026-09-08T04:05:57.350Z,2026-09-08T04:05:57.355Z,1,B,5.045,200,9.601,E1,
193,2026-09-08T04:05:57.399Z,2026-09-08T04:05:57.409Z,1,C,10.097,200,9.650,E1,
194,2026-09-08T04:05:57.450Z,2026-09-08T04:05:57.454Z,1,C,4.183,200,9.701,E1,
195,2026-09-08T04:05:57.499Z,2026-09-08T04:05:57.507Z,1,C,7.798,200,9.750,E1,
196,2026-09-08T04:05:57.549Z,2026-09-08T04:05:57.569Z,1,B,19.986,200,9.800,E1,
197,2026-09-08T04:05:57.600Z,2026-09-08T04:05:57.607Z,1,B,7.108,200,9.851,E1,
198,2026-09-08T04:05:57.650Z,2026-09-08T04:05:57.655Z,1,C,5.017,200,9.901,E1,
199,2026-09-08T04:05:57.699Z,2026-09-08T04:05:57.705Z,1,B,5.633,200,9.950,E1,
200,2026-09-08T04:05:57.749Z,2026-09-08T04:05:57.764Z,1,A,14.813,200,10.000,E1,
201,2026-09-08T04:05:57.799Z,2026-09-08T04:05:57.811Z,1,C,12.185,200,10.050,E1,
202,2026-09-08T04:05:57.850Z,2026-09-08T04:05:57.858Z,1,C,8.168,200,10.101,E1,
203,2026-09-08T04:05:57.899Z,2026-09-08T04:05:57.908Z,1,A,9.066,200,10.150,E1,
204,2026-09-08T04:05:57.950Z,2026-09-08T04:05:57.967Z,1,C,17.477,200,10.201,E1,
205,2026-09-08T04:05:57.999Z,2026-09-08T04:05:58.023Z,1,B,23.989,200,10.251,E1,
206,2026-09-08T04:05:58.050Z,2026-09-08T04:05:58.064Z,1,B,14.823,200,10.301,E1,
207,2026-09-08T04:05:58.100Z,2026-09-08T04:05:58.116Z,1,A,16.091,200,10.351,E1,
208,2026-09-08T04:05:58.149Z,2026-09-08T04:05:58.162Z,1,A,12.782,200,10.400,E1,
209,2026-09-08T04:05:58.199Z,2026-09-08T04:05:58.208Z,1,A,9.284,200,10.450,E1,
210,2026-09-08T04:05:58.250Z,2026-09-08T04:05:58.262Z,1,B,12.259,200,10.501,E1,
211,2026-09-08T04:05:58.300Z,2026-09-08T04:05:58.315Z,1,B,14.981,200,10.551,E1,
212,2026-09-08T04:05:58.349Z,2026-09-08T04:05:58.356Z,1,B,6.985,200,10.600,E1,
213,2026-09-08T04:05:58.400Z,2026-09-08T04:05:58.406Z,1,B,6.917,200,10.651,E1,
214,2026-09-08T04:05:58.450Z,2026-09-08T04:05:58.462Z,1,A,11.950,200,10.701,E1,
